"BOG iPay","BOG iPay"
"BOG iPay (Bank of Georgia)","BOG iPay (Bank of Georgia)"
"Accept payments via Bank of Georgia iPay gateway.","Accept payments via Bank of Georgia iPay gateway."
"Enabled","Enabled"
"Title","Title"
"Environment","Environment"
"Test","Test"
"Live","Live"
"Client ID","Client ID"
"Client Secret","Client Secret"
"API URL","API URL"
"Base URL for BOG iPay API (e.g. https://ipay.ge/opay/api/v1)","Base URL for BOG iPay API (e.g. https://ipay.ge/opay/api/v1)"
"Currency","Currency"
"Currency code sent to BOG (default: GEL)","Currency code sent to BOG (default: GEL)"
"Enable Split Payments","Enable Split Payments"
"When enabled, payment split data will be sent to BOG for multi-vendor orders.","When enabled, payment split data will be sent to BOG for multi-vendor orders."
"Debug","Debug"
"New Order Status","New Order Status"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Sort Order","Sort Order"
"BOG Order ID","BOG Order ID"
"BOG Payment ID","BOG Payment ID"
"BOG Status","BOG Status"
"Pay with BOG iPay","Pay with BOG iPay"
"No order found in session.","No order found in session."
"Payment information not found.","Payment information not found."
"An error occurred while creating the payment. Please try again.","An error occurred while creating the payment. Please try again."
"BOG iPay API credentials are not configured. Please set Client ID and Client Secret.","BOG iPay API credentials are not configured. Please set Client ID and Client Secret."
"Unable to authenticate with BOG iPay. Please try again later.","Unable to authenticate with BOG iPay. Please try again later."
"BOG iPay authentication failed. HTTP status: %1","BOG iPay authentication failed. HTTP status: %1"
"Invalid response from BOG iPay authentication endpoint.","Invalid response from BOG iPay authentication endpoint."
"Unable to connect to BOG iPay. Please try again later.","Unable to connect to BOG iPay. Please try again later."
"Invalid response from BOG iPay API.","Invalid response from BOG iPay API."
"Unable to process refund via BOG iPay. Please try again later.","Unable to process refund via BOG iPay. Please try again later."
"Invalid refund response from BOG iPay API.","Invalid refund response from BOG iPay API."
"BOG iPay API returned an error. HTTP status: %1","BOG iPay API returned an error. HTTP status: %1"
"Unable to verify payment status with BOG iPay.","Unable to verify payment status with BOG iPay."
"Payment confirmed by BOG iPay. Order ID: %1","Payment confirmed by BOG iPay. Order ID: %1"
